Trial 0, Loss: 0.09656687952797202
Trial 1, Loss: 0.08999304666676941
Trial 2, Loss: 0.10275332124164217
Trial 3, Loss: 0.09231201005990013
Trial 4, Loss: 0.09256583697013555
Trial 5, Loss: 0.09040265902438586
Trial 6, Loss: 0.10008080224506559
Trial 7, Loss: 0.10353943025720688
Trial 8, Loss: 0.09031130138072459
Trial 9, Loss: 0.09177286824868883
